;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 30/05/2013 11:06:06
;----------------------------------------------

;Address Opcode 	ASM
0x01A0	0x106F      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,198 :: 		
0x01A1	0x1683      	BSF        STATUS, 5
0x01A2	0x01C9      	CLRF       Lcd_Out_i_L0
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
0x01A3	0x0849      	MOVF       Lcd_Out_i_L0, 0
0x01A4	0x0748      	ADDWF      FARG_Lcd_Out_text, 0
0x01A5	0x0084      	MOVWF      FSR
0x01A6	0x0800      	MOVF       INDF, 0
0x01A7	0x1903      	BTFSC      STATUS, 2
0x01A8	0x29B2      	GOTO       L_Lcd_Out19
;__Lib_Lcd.c,200 :: 		
0x01A9	0x0849      	MOVF       Lcd_Out_i_L0, 0
0x01AA	0x0748      	ADDWF      FARG_Lcd_Out_text, 0
0x01AB	0x0084      	MOVWF      FSR
0x01AC	0x0800      	MOVF       INDF, 0
0x01AD	0x00CA      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x01AE	0x2159      	CALL       _Lcd_Chr_CP
0x01AF	0x1683      	BSF        STATUS, 5
0x01B0	0x0AC9      	INCF       Lcd_Out_i_L0, 1
0x01B1	0x29A3      	GOTO       L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x01B2	0x1283      	BCF        STATUS, 5
0x01B3	0x146F      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x01B4	0x0008      	RETURN
; end of _Lcd_Out
___CC2DW:
;__Lib_System.c,134 :: 		
;__Lib_System.c,137 :: 		
_CC2D_Loop1:
;__Lib_System.c,139 :: 		
0x01B5	0x2152      	CALL       _____DoICP
0x01B6	0x118A      	BCF        PCLATH, 3
0x01B7	0x120A      	BCF        PCLATH, 4
;__Lib_System.c,141 :: 		
0x01B8	0x0080      	MOVWF      INDF
;__Lib_System.c,142 :: 		
0x01B9	0x0A84      	INCF       FSR, 1
;__Lib_System.c,143 :: 		
0x01BA	0x0AEC      	INCF       ___DoICPAddr, 1
;__Lib_System.c,145 :: 		
0x01BB	0x1903      	BTFSC      STATUS, 2
;__Lib_System.c,146 :: 		
0x01BC	0x0AED      	INCF       ___DoICPAddr+1, 1
;__Lib_System.c,147 :: 		
0x01BD	0x03F0      	DECF       R0, 1
;__Lib_System.c,149 :: 		
0x01BE	0x1D03      	BTFSS      STATUS, 2
;__Lib_System.c,150 :: 		
0x01BF	0x29B5      	GOTO       _CC2D_Loop1
;__Lib_System.c,152 :: 		
L_end___CC2DW:
0x01C0	0x0008      	RETURN
; end of ___CC2DW
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x01C1	0x1683      	BSF        STATUS, 5
0x01C2	0x1303      	BCF        STATUS, 6
0x01C3	0x1186      	BCF        LCD_EN_Direction, BitPos(LCD_EN_Direction+0)
;__Lib_Lcd.c,87 :: 		
0x01C4	0x1106      	BCF        LCD_RS_Direction, BitPos(LCD_RS_Direction+0)
;__Lib_Lcd.c,88 :: 		
0x01C5	0x1206      	BCF        LCD_D4_Direction, BitPos(LCD_D4_Direction+0)
;__Lib_Lcd.c,89 :: 		
0x01C6	0x1286      	BCF        LCD_D5_Direction, BitPos(LCD_D5_Direction+0)
;__Lib_Lcd.c,90 :: 		
0x01C7	0x1306      	BCF        LCD_D6_Direction, BitPos(LCD_D6_Direction+0)
;__Lib_Lcd.c,91 :: 		
0x01C8	0x1386      	BCF        LCD_D7_Direction, BitPos(LCD_D7_Direction+0)
;__Lib_Lcd.c,93 :: 		
0x01C9	0x1283      	BCF        STATUS, 5
0x01CA	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,94 :: 		
0x01CB	0x1106      	BCF        LCD_RS, BitPos(LCD_RS+0)
;__Lib_Lcd.c,95 :: 		
0x01CC	0x1386      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,96 :: 		
0x01CD	0x1306      	BCF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,97 :: 		
0x01CE	0x1286      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,98 :: 		
0x01CF	0x1206      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,100 :: 		
0x01D0	0x20EB      	CALL       _Delay_5500us
;__Lib_Lcd.c,101 :: 		
0x01D1	0x20EB      	CALL       _Delay_5500us
;__Lib_Lcd.c,102 :: 		
0x01D2	0x20EB      	CALL       _Delay_5500us
;__Lib_Lcd.c,105 :: 		
0x01D3	0x1686      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,106 :: 		
0x01D4	0x1606      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,107 :: 		
0x01D5	0x1586      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,108 :: 		
0x01D6	0x20F8      	CALL       _Delay_1us
;__Lib_Lcd.c,109 :: 		
0x01D7	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,110 :: 		
0x01D8	0x20EB      	CALL       _Delay_5500us
;__Lib_Lcd.c,112 :: 		
0x01D9	0x1586      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,113 :: 		
0x01DA	0x20F8      	CALL       _Delay_1us
;__Lib_Lcd.c,114 :: 		
0x01DB	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,115 :: 		
0x01DC	0x20EB      	CALL       _Delay_5500us
;__Lib_Lcd.c,117 :: 		
0x01DD	0x1586      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,118 :: 		
0x01DE	0x20F8      	CALL       _Delay_1us
;__Lib_Lcd.c,119 :: 		
0x01DF	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,120 :: 		
0x01E0	0x20EB      	CALL       _Delay_5500us
;__Lib_Lcd.c,123 :: 		
0x01E1	0x1206      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,124 :: 		
0x01E2	0x1586      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,125 :: 		
0x01E3	0x20F8      	CALL       _Delay_1us
;__Lib_Lcd.c,126 :: 		
0x01E4	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,127 :: 		
0x01E5	0x20EB      	CALL       _Delay_5500us
;__Lib_Lcd.c,130 :: 		
0x01E6	0x1586      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,131 :: 		
0x01E7	0x20F8      	CALL       _Delay_1us
;__Lib_Lcd.c,132 :: 		
0x01E8	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,134 :: 		
0x01E9	0x1286      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,135 :: 		
0x01EA	0x1786      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,136 :: 		
0x01EB	0x1586      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,137 :: 		
0x01EC	0x20F8      	CALL       _Delay_1us
;__Lib_Lcd.c,138 :: 		
0x01ED	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,139 :: 		
0x01EE	0x20EB      	CALL       _Delay_5500us
;__Lib_Lcd.c,142 :: 		
0x01EF	0x1386      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,143 :: 		
0x01F0	0x1606      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,144 :: 		
0x01F1	0x1586      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,145 :: 		
0x01F2	0x20F8      	CALL       _Delay_1us
;__Lib_Lcd.c,146 :: 		
0x01F3	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,148 :: 		
0x01F4	0x1206      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,149 :: 		
0x01F5	0x1586      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,150 :: 		
0x01F6	0x20F8      	CALL       _Delay_1us
;__Lib_Lcd.c,151 :: 		
0x01F7	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,152 :: 		
0x01F8	0x20EB      	CALL       _Delay_5500us
;__Lib_Lcd.c,155 :: 		
0x01F9	0x1586      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,156 :: 		
0x01FA	0x20F8      	CALL       _Delay_1us
;__Lib_Lcd.c,157 :: 		
0x01FB	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,159 :: 		
0x01FC	0x1606      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,160 :: 		
0x01FD	0x1586      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,161 :: 		
0x01FE	0x20F8      	CALL       _Delay_1us
;__Lib_Lcd.c,162 :: 		
0x01FF	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,163 :: 		
0x0200	0x20EB      	CALL       _Delay_5500us
;__Lib_Lcd.c,166 :: 		
0x0201	0x1206      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,167 :: 		
0x0202	0x1586      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,168 :: 		
0x0203	0x20F8      	CALL       _Delay_1us
;__Lib_Lcd.c,169 :: 		
0x0204	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,171 :: 		
0x0205	0x1786      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,172 :: 		
0x0206	0x1706      	BSF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,173 :: 		
0x0207	0x1686      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,174 :: 		
0x0208	0x1606      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,175 :: 		
0x0209	0x1586      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,176 :: 		
0x020A	0x20F8      	CALL       _Delay_1us
;__Lib_Lcd.c,177 :: 		
0x020B	0x1186      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,179 :: 		
0x020C	0x20EB      	CALL       _Delay_5500us
;__Lib_Lcd.c,181 :: 		
0x020D	0x146F      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x020E	0x0008      	RETURN
; end of _Lcd_Init
_UART1_Data_Ready:
;__Lib_UART_c67.c,16 :: 		
;__Lib_UART_c67.c,17 :: 		
0x020F	0x3000      	MOVLW      0
0x0210	0x1283      	BCF        STATUS, 5
0x0211	0x1303      	BCF        STATUS, 6
0x0212	0x1A8C      	BTFSC      PIR1, 5
0x0213	0x3001      	MOVLW      1
0x0214	0x00F0      	MOVWF      R0
;__Lib_UART_c67.c,18 :: 		
L_end_UART1_Data_Ready:
0x0215	0x0008      	RETURN
; end of _UART1_Data_Ready
_UART1_Read:
;__Lib_UART_c67.c,21 :: 		
;__Lib_UART_c67.c,24 :: 		
0x0216	0x1283      	BCF        STATUS, 5
0x0217	0x1303      	BCF        STATUS, 6
0x0218	0x081A      	MOVF       RCREG, 0
0x0219	0x00F1      	MOVWF      R1
;__Lib_UART_c67.c,25 :: 		
0x021A	0x1C98      	BTFSS      RCSTA, 1
0x021B	0x2A1E      	GOTO       L_UART1_Read2
;__Lib_UART_c67.c,26 :: 		
0x021C	0x1218      	BCF        RCSTA, 4
;__Lib_UART_c67.c,27 :: 		
0x021D	0x1618      	BSF        RCSTA, 4
;__Lib_UART_c67.c,28 :: 		
L_UART1_Read2:
;__Lib_UART_c67.c,29 :: 		
0x021E	0x0871      	MOVF       R1, 0
0x021F	0x00F0      	MOVWF      R0
;__Lib_UART_c67.c,30 :: 		
L_end_UART1_Read:
0x0220	0x0008      	RETURN
; end of _UART1_Read
_strncmp:
;__Lib_CString.c,223 :: 		
;__Lib_CString.c,225 :: 		
L_strncmp58:
0x0221	0x1683      	BSF        STATUS, 5
0x0222	0x1303      	BCF        STATUS, 6
0x0223	0x0866      	MOVF       FARG_strncmp_len, 0
0x0224	0x00F0      	MOVWF      R0
0x0225	0x03E6      	DECF       FARG_strncmp_len, 1
0x0226	0x0870      	MOVF       R0, 0
0x0227	0x1903      	BTFSC      STATUS, 2
0x0228	0x2A49      	GOTO       L_strncmp59
;__Lib_CString.c,226 :: 		
0x0229	0x0864      	MOVF       FARG_strncmp_s1, 0
0x022A	0x0084      	MOVWF      FSR
0x022B	0x0800      	MOVF       INDF, 0
0x022C	0x3A00      	XORLW      0
0x022D	0x1903      	BTFSC      STATUS, 2
0x022E	0x2A3A      	GOTO       L__strncmp85
0x022F	0x0865      	MOVF       FARG_strncmp_s2, 0
0x0230	0x0084      	MOVWF      FSR
0x0231	0x0800      	MOVF       INDF, 0
0x0232	0x00F1      	MOVWF      R1
0x0233	0x0864      	MOVF       FARG_strncmp_s1, 0
0x0234	0x0084      	MOVWF      FSR
0x0235	0x0800      	MOVF       INDF, 0
0x0236	0x0671      	XORWF      R1, 0
0x0237	0x1D03      	BTFSS      STATUS, 2
0x0238	0x2A3A      	GOTO       L__strncmp85
0x0239	0x2A46      	GOTO       L_strncmp62
L__strncmp85:
;__Lib_CString.c,227 :: 		
0x023A	0x0864      	MOVF       FARG_strncmp_s1, 0
0x023B	0x0084      	MOVWF      FSR
0x023C	0x0800      	MOVF       INDF, 0
0x023D	0x00F0      	MOVWF      R0
0x023E	0x0865      	MOVF       FARG_strncmp_s2, 0
0x023F	0x0084      	MOVWF      FSR
0x0240	0x0800      	MOVF       INDF, 0
0x0241	0x02F0      	SUBWF      R0, 1
0x0242	0x01F1      	CLRF       R0+1
0x0243	0x1C03      	BTFSS      STATUS, 0
0x0244	0x03F1      	DECF       R0+1, 1
0x0245	0x2A4B      	GOTO       L_end_strncmp
L_strncmp62:
;__Lib_CString.c,228 :: 		
0x0246	0x0AE4      	INCF       FARG_strncmp_s1, 1
;__Lib_CString.c,229 :: 		
0x0247	0x0AE5      	INCF       FARG_strncmp_s2, 1
;__Lib_CString.c,230 :: 		
0x0248	0x2A21      	GOTO       L_strncmp58
L_strncmp59:
;__Lib_CString.c,231 :: 		
0x0249	0x01F0      	CLRF       R0
0x024A	0x01F1      	CLRF       R0+1
;__Lib_CString.c,232 :: 		
L_end_strncmp:
0x024B	0x0008      	RETURN
; end of _strncmp
_main:
0x024C	0x23AE      	CALL       942
;home_automation.c,78 :: 		void main() {
;home_automation.c,79 :: 		TrisD = 0x00;
0x024D	0x1683      	BSF        STATUS, 5
0x024E	0x1303      	BCF        STATUS, 6
0x024F	0x0188      	CLRF       TRISD
;home_automation.c,80 :: 		PortD = 0x00;
0x0250	0x1283      	BCF        STATUS, 5
0x0251	0x0188      	CLRF       PORTD
;home_automation.c,81 :: 		TRISA=1;
0x0252	0x3001      	MOVLW      1
0x0253	0x1683      	BSF        STATUS, 5
0x0254	0x0085      	MOVWF      TRISA
;home_automation.c,82 :: 		PORTA=0;
0x0255	0x1283      	BCF        STATUS, 5
0x0256	0x0185      	CLRF       PORTA
;home_automation.c,83 :: 		INTCON = 0xC0;
0x0257	0x30C0      	MOVLW      192
0x0258	0x008B      	MOVWF      INTCON
;home_automation.c,84 :: 		RCIE_bit=1;
0x0259	0x1683      	BSF        STATUS, 5
0x025A	0x168C      	BSF        RCIE_bit, 5
;home_automation.c,85 :: 		CMCON=7;
0x025B	0x3007      	MOVLW      7
0x025C	0x009C      	MOVWF      CMCON
;home_automation.c,86 :: 		ADCON1=7;
0x025D	0x3007      	MOVLW      7
0x025E	0x009F      	MOVWF      ADCON1
;home_automation.c,87 :: 		Lcd_Init();                        // Initialize LCD
0x025F	0x21C1      	CALL       _Lcd_Init
;home_automation.c,89 :: 		Lcd_Cmd(_LCD_CLEAR);               // Clear display
0x0260	0x3001      	MOVLW      1
0x0261	0x1683      	BSF        STATUS, 5
0x0262	0x00CB      	MOVWF      FARG_Lcd_Cmd_out_char
0x0263	0x20FB      	CALL       _Lcd_Cmd
;home_automation.c,90 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);          // Cursor off
0x0264	0x300C      	MOVLW      12
0x0265	0x1683      	BSF        STATUS, 5
0x0266	0x00CB      	MOVWF      FARG_Lcd_Cmd_out_char
0x0267	0x20FB      	CALL       _Lcd_Cmd
;home_automation.c,94 :: 		uart1_init(9600);
0x0268	0x3033      	MOVLW      51
0x0269	0x1683      	BSF        STATUS, 5
0x026A	0x0099      	MOVWF      SPBRG
0x026B	0x1518      	BSF        TXSTA, 2
0x026C	0x2162      	CALL       _UART1_Init
;home_automation.c,95 :: 		delay_ms(1000);
0x026D	0x300B      	MOVLW      11
0x026E	0x00FB      	MOVWF      R11
0x026F	0x3026      	MOVLW      38
0x0270	0x00FC      	MOVWF      R12
0x0271	0x305D      	MOVLW      93
0x0272	0x00FD      	MOVWF      R13
L_main25:
0x0273	0x0BFD      	DECFSZ     R13, 1
0x0274	0x2A73      	GOTO       L_main25
0x0275	0x0BFC      	DECFSZ     R12, 1
0x0276	0x2A73      	GOTO       L_main25
0x0277	0x0BFB      	DECFSZ     R11, 1
0x0278	0x2A73      	GOTO       L_main25
0x0279	0x0000      	NOP
0x027A	0x0000      	NOP
;home_automation.c,97 :: 		main:
___main_main:
;home_automation.c,98 :: 		LCD_OUT(1,2,"HOME AUTOMATION") ;
0x027B	0x3001      	MOVLW      1
0x027C	0x1683      	BSF        STATUS, 5
0x027D	0x00C6      	MOVWF      FARG_Lcd_Out_row
0x027E	0x3002      	MOVLW      2
0x027F	0x00C7      	MOVWF      FARG_Lcd_Out_column
0x0280	0x3024      	MOVLW      ?lstr7_home_automation
0x0281	0x00C8      	MOVWF      FARG_Lcd_Out_text
0x0282	0x2172      	CALL       _Lcd_Out
;home_automation.c,100 :: 		do{
L_main26:
;home_automation.c,102 :: 		if (sensa==1) {
0x0283	0x1C05      	BTFSS      RA0_bit, 0
0x0284	0x2AA5      	GOTO       L_main29
;home_automation.c,103 :: 		baza=1;
0x0285	0x1588      	BSF        RD3_bit, 3
;home_automation.c,105 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0286	0x3001      	MOVLW      1
0x0287	0x1683      	BSF        STATUS, 5
0x0288	0x00CB      	MOVWF      FARG_Lcd_Cmd_out_char
0x0289	0x20FB      	CALL       _Lcd_Cmd
;home_automation.c,106 :: 		LCD_OUT(1,1,"Intruder!");
0x028A	0x3001      	MOVLW      1
0x028B	0x1683      	BSF        STATUS, 5
0x028C	0x00C6      	MOVWF      FARG_Lcd_Out_row
0x028D	0x3001      	MOVLW      1
0x028E	0x00C7      	MOVWF      FARG_Lcd_Out_column
0x028F	0x3034      	MOVLW      ?lstr8_home_automation
0x0290	0x00C8      	MOVWF      FARG_Lcd_Out_text
0x0291	0x2172      	CALL       _Lcd_Out
;home_automation.c,107 :: 		delay_ms(2000);
0x0292	0x3015      	MOVLW      21
0x0293	0x00FB      	MOVWF      R11
0x0294	0x304B      	MOVLW      75
0x0295	0x00FC      	MOVWF      R12
0x0296	0x30BE      	MOVLW      190
0x0297	0x00FD      	MOVWF      R13
L_main30:
0x0298	0x0BFD      	DECFSZ     R13, 1
0x0299	0x2A98      	GOTO       L_main30
0x029A	0x0BFC      	DECFSZ     R12, 1
0x029B	0x2A98      	GOTO       L_main30
0x029C	0x0BFB      	DECFSZ     R11, 1
0x029D	0x2A98      	GOTO       L_main30
0x029E	0x0000      	NOP
;home_automation.c,108 :: 		baza=0;
0x029F	0x1188      	BCF        RD3_bit, 3
;home_automation.c,109 :: 		Lcd_Cmd(_LCD_CLEAR);
0x02A0	0x3001      	MOVLW      1
0x02A1	0x1683      	BSF        STATUS, 5
0x02A2	0x00CB      	MOVWF      FARG_Lcd_Cmd_out_char
0x02A3	0x20FB      	CALL       _Lcd_Cmd
;home_automation.c,110 :: 		goto main;
0x02A4	0x2A7B      	GOTO       ___main_main
;home_automation.c,111 :: 		}
L_main29:
;home_automation.c,113 :: 		}while(kifaa_status==0);// do
0x02A5	0x086B      	MOVF       _kifaa_status, 0
0x02A6	0x3A00      	XORLW      0
0x02A7	0x1903      	BTFSC      STATUS, 2
0x02A8	0x2A83      	GOTO       L_main26
;home_automation.c,126 :: 		if(kifaa_status==2){
0x02A9	0x086B      	MOVF       _kifaa_status, 0
0x02AA	0x3A02      	XORLW      2
0x02AB	0x1D03      	BTFSS      STATUS, 2
0x02AC	0x2ACD      	GOTO       L_main31
;home_automation.c,127 :: 		taa=1;
0x02AD	0x1488      	BSF        RD1_bit, 1
;home_automation.c,128 :: 		Lcd_Cmd(_LCD_CLEAR);
0x02AE	0x3001      	MOVLW      1
0x02AF	0x1683      	BSF        STATUS, 5
0x02B0	0x00CB      	MOVWF      FARG_Lcd_Cmd_out_char
0x02B1	0x20FB      	CALL       _Lcd_Cmd
;home_automation.c,129 :: 		LCD_OUT(1,1,"TAA IS ON");
0x02B2	0x3001      	MOVLW      1
0x02B3	0x1683      	BSF        STATUS, 5
0x02B4	0x00C6      	MOVWF      FARG_Lcd_Out_row
0x02B5	0x3001      	MOVLW      1
0x02B6	0x00C7      	MOVWF      FARG_Lcd_Out_column
0x02B7	0x303E      	MOVLW      ?lstr9_home_automation
0x02B8	0x00C8      	MOVWF      FARG_Lcd_Out_text
0x02B9	0x2172      	CALL       _Lcd_Out
;home_automation.c,130 :: 		DELAY_MS(3000);
0x02BA	0x301F      	MOVLW      31
0x02BB	0x00FB      	MOVWF      R11
0x02BC	0x3071      	MOVLW      113
0x02BD	0x00FC      	MOVWF      R12
0x02BE	0x301E      	MOVLW      30
0x02BF	0x00FD      	MOVWF      R13
L_main32:
0x02C0	0x0BFD      	DECFSZ     R13, 1
0x02C1	0x2AC0      	GOTO       L_main32
0x02C2	0x0BFC      	DECFSZ     R12, 1
0x02C3	0x2AC0      	GOTO       L_main32
0x02C4	0x0BFB      	DECFSZ     R11, 1
0x02C5	0x2AC0      	GOTO       L_main32
0x02C6	0x0000      	NOP
;home_automation.c,131 :: 		Lcd_Cmd(_LCD_CLEAR);
0x02C7	0x3001      	MOVLW      1
0x02C8	0x1683      	BSF        STATUS, 5
0x02C9	0x00CB      	MOVWF      FARG_Lcd_Cmd_out_char
0x02CA	0x20FB      	CALL       _Lcd_Cmd
;home_automation.c,132 :: 		kifaa_status=0;
0x02CB	0x01EB      	CLRF       _kifaa_status
;home_automation.c,134 :: 		goto main;
0x02CC	0x2A7B      	GOTO       ___main_main
;home_automation.c,135 :: 		}
L_main31:
;home_automation.c,137 :: 		else if(kifaa_status==3){
0x02CD	0x086B      	MOVF       _kifaa_status, 0
0x02CE	0x3A03      	XORLW      3
0x02CF	0x1D03      	BTFSS      STATUS, 2
0x02D0	0x2AF2      	GOTO       L_main34
;home_automation.c,138 :: 		tv=1;
0x02D1	0x1508      	BSF        RD2_bit, 2
;home_automation.c,139 :: 		fan=1;
0x02D2	0x1408      	BSF        RD0_bit, 0
;home_automation.c,140 :: 		Lcd_Cmd(_LCD_CLEAR);
0x02D3	0x3001      	MOVLW      1
0x02D4	0x1683      	BSF        STATUS, 5
0x02D5	0x00CB      	MOVWF      FARG_Lcd_Cmd_out_char
0x02D6	0x20FB      	CALL       _Lcd_Cmd
;home_automation.c,141 :: 		LCD_OUT(1,1,"TV & FAN ON");
0x02D7	0x3001      	MOVLW      1
0x02D8	0x1683      	BSF        STATUS, 5
0x02D9	0x00C6      	MOVWF      FARG_Lcd_Out_row
0x02DA	0x3001      	MOVLW      1
0x02DB	0x00C7      	MOVWF      FARG_Lcd_Out_column
0x02DC	0x30A0      	MOVLW      ?lstr10_home_automation
0x02DD	0x00C8      	MOVWF      FARG_Lcd_Out_text
0x02DE	0x2172      	CALL       _Lcd_Out
;home_automation.c,142 :: 		DELAY_MS(3000);
0x02DF	0x301F      	MOVLW      31
0x02E0	0x00FB      	MOVWF      R11
0x02E1	0x3071      	MOVLW      113
0x02E2	0x00FC      	MOVWF      R12
0x02E3	0x301E      	MOVLW      30
0x02E4	0x00FD      	MOVWF      R13
L_main35:
0x02E5	0x0BFD      	DECFSZ     R13, 1
0x02E6	0x2AE5      	GOTO       L_main35
0x02E7	0x0BFC      	DECFSZ     R12, 1
0x02E8	0x2AE5      	GOTO       L_main35
0x02E9	0x0BFB      	DECFSZ     R11, 1
0x02EA	0x2AE5      	GOTO       L_main35
0x02EB	0x0000      	NOP
;home_automation.c,143 :: 		Lcd_Cmd(_LCD_CLEAR);
0x02EC	0x3001      	MOVLW      1
0x02ED	0x1683      	BSF        STATUS, 5
0x02EE	0x00CB      	MOVWF      FARG_Lcd_Cmd_out_char
0x02EF	0x20FB      	CALL       _Lcd_Cmd
;home_automation.c,144 :: 		kifaa_status=0;
0x02F0	0x01EB      	CLRF       _kifaa_status
;home_automation.c,145 :: 		goto main;
0x02F1	0x2A7B      	GOTO       ___main_main
;home_automation.c,146 :: 		}
L_main34:
;home_automation.c,149 :: 		else if(kifaa_status==5){
0x02F2	0x086B      	MOVF       _kifaa_status, 0
0x02F3	0x3A05      	XORLW      5
0x02F4	0x1D03      	BTFSS      STATUS, 2
0x02F5	0x2B16      	GOTO       L_main37
;home_automation.c,150 :: 		taa=0;
0x02F6	0x1088      	BCF        RD1_bit, 1
;home_automation.c,151 :: 		Lcd_Cmd(_LCD_CLEAR);
0x02F7	0x3001      	MOVLW      1
0x02F8	0x1683      	BSF        STATUS, 5
0x02F9	0x00CB      	MOVWF      FARG_Lcd_Cmd_out_char
0x02FA	0x20FB      	CALL       _Lcd_Cmd
;home_automation.c,152 :: 		LCD_OUT(1,1,"TAA IS OFF");
0x02FB	0x3001      	MOVLW      1
0x02FC	0x1683      	BSF        STATUS, 5
0x02FD	0x00C6      	MOVWF      FARG_Lcd_Out_row
0x02FE	0x3001      	MOVLW      1
0x02FF	0x00C7      	MOVWF      FARG_Lcd_Out_column
0x0300	0x30B9      	MOVLW      ?lstr11_home_automation
0x0301	0x00C8      	MOVWF      FARG_Lcd_Out_text
0x0302	0x2172      	CALL       _Lcd_Out
;home_automation.c,153 :: 		DELAY_MS(3000);
0x0303	0x301F      	MOVLW      31
0x0304	0x00FB      	MOVWF      R11
0x0305	0x3071      	MOVLW      113
0x0306	0x00FC      	MOVWF      R12
0x0307	0x301E      	MOVLW      30
0x0308	0x00FD      	MOVWF      R13
L_main38:
0x0309	0x0BFD      	DECFSZ     R13, 1
0x030A	0x2B09      	GOTO       L_main38
0x030B	0x0BFC      	DECFSZ     R12, 1
0x030C	0x2B09      	GOTO       L_main38
0x030D	0x0BFB      	DECFSZ     R11, 1
0x030E	0x2B09      	GOTO       L_main38
0x030F	0x0000      	NOP
;home_automation.c,154 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0310	0x3001      	MOVLW      1
0x0311	0x1683      	BSF        STATUS, 5
0x0312	0x00CB      	MOVWF      FARG_Lcd_Cmd_out_char
0x0313	0x20FB      	CALL       _Lcd_Cmd
;home_automation.c,155 :: 		kifaa_status=0;
0x0314	0x01EB      	CLRF       _kifaa_status
